,resultId,value,time,limb,repeat,definition_id,result_key,description,name,unit,repeatable,asymmetry
18,6553622,72.33685040039525,23.012,Right,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,Percent,False,True
19,6553622,-9.820889543288045,23.012,Asym,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,Percent,False,True
20,6553628,2370.9907663896583,24.084,Trial,0,6553628,PEAK_LANDING_FORCE,Peak force during landing,Peak Landing Force,Newton,False,True
21,6553628,1372.6952908587257,24.084,Left,0,6553628,PEAK_LANDING_FORCE,Peak force during landing,Peak Landing Force,Newton,False,True
22,6553628,998.2954755309325,24.084,Right,0,6553628,PEAK_LANDING_FORCE,Peak force during landing,Peak Landing Force,Newton,False,True
23,6553628,-27.274794182005056,24.084,Asym,0,6553628,PEAK_LANDING_FORCE,Peak force during landing,Peak Landing Force,Newton,False,True
24,6553632,1098.9907663896583,23.238,Trial,0,6553632,PEAK_TAKEOFF_FORCE,Peak force over the entire takeoff phase,Takeoff Peak Force,Newton,False,True
25,6553632,525.6952908587258,23.238,Left,0,6553632,PEAK_TAKEOFF_FORCE,Peak force over the entire takeoff phase,Takeoff Peak Force,Newton,False,True
26,6553632,577.2954755309325,23.256,Right,0,6553632,PEAK_TAKEOFF_FORCE,Peak force over the entire takeoff phase,Takeoff Peak Force,Newton,False,True
27,6553632,8.938262442599365,23.238,Asym,0,6553632,PEAK_TAKEOFF_FORCE,Peak force over the entire takeoff phase,Takeoff Peak Force,Newton,False,True
28,6553637,1774.3362831868242,23.238,Trial,0,6553637,CONCENTRIC_RFD,Rate of force development over the concentric phase,Concentric RFD,Newton Per Second,False,True
29,6553637,880.5309734518157,23.238,Left,0,6553637,CONCENTRIC_RFD,Rate of force development over the concentric phase,Concentric RFD,Newton Per Second,False,True
30,6553637,893.8053097350083,23.238,Right,0,6553637,CONCENTRIC_RFD,Rate of force development over the concentric phase,Concentric RFD,Newton Per Second,False,True
31,6553637,1.48514851485142,23.238,Asym,0,6553637,CONCENTRIC_RFD,Rate of force development over the concentric phase,Concentric RFD,Newton Per Second,False,True
32,6553638,1520.0000000008424,23.112,Trial,0,6553638,CONCENTRIC_RFD_100,Rate of force development during the first 100ms of the concentric phase,Concentric RFD - 100ms,Newton Per Second,False,True
33,6553638,790.0000000004378,23.112,Left,0,6553638,CONCENTRIC_RFD_100,Rate of force development during the first 100ms of the concentric phase,Concentric RFD - 100ms,Newton Per Second,False,True
34,6553638,730.0000000004046,23.112,Right,0,6553638,CONCENTRIC_RFD_100,Rate of force development during the first 100ms of the concentric phase,Concentric RFD - 100ms,Newton Per Second,False,True
35,6553638,-7.594936708860753,23.112,Asym,0,6553638,CONCENTRIC_RFD_100,Rate of force development during the first 100ms of the concentric phase,Concentric RFD - 100ms,Newton Per Second,False,True
36,6553639,1805.0000000010004,23.212,Trial,0,6553639,CONCENTRIC_RFD_200,Rate of force development during the first 200ms of the concentric phase,Concentric RFD - 200ms,Newton Per Second,False,True
37,6553639,920.0000000005099,23.212,Left,0,6553639,CONCENTRIC_RFD_200,Rate of force development during the first 200ms of the concentric phase,Concentric RFD - 200ms,Newton Per Second,False,True
38,6553639,885.0000000004902,23.212,Right,0,6553639,CONCENTRIC_RFD_200,Rate of force development during the first 200ms of the concentric phase,Concentric RFD - 200ms,Newton Per Second,False,True
39,6553639,-3.804347826086986,23.212,Asym,0,6553639,CONCENTRIC_RFD_200,Rate of force development during the first 200ms of the concentric phase,Concentric RFD - 200ms,Newton Per Second,False,True
40,6553640,1380.0000000007649,23.062,Trial,0,6553640,CONCENTRIC_RFD_50,Rate of force development during the first 50ms of the concentric phase,Concentric RFD - 50ms,Newton Per Second,False,True
41,6553640,980.0000000005432,23.062,Left,0,6553640,CONCENTRIC_RFD_50,Rate of force development during the first 50ms of the concentric phase,Concentric RFD - 50ms,Newton Per Second,False,True
42,6553640,400.0000000002217,23.062,Right,0,6553640,CONCENTRIC_RFD_50,Rate of force development during the first 50ms of the concentric phase,Concentric RFD - 50ms,Newton Per Second,False,True
43,6553640,-59.183673469387756,23.062,Asym,0,6553640,CONCENTRIC_RFD_50,Rate of force development during the first 50ms of the concentric phase,Concentric RFD - 50ms,Newton Per Second,False,True
44,6553641,2800.0,23.206,Trial,0,6553641,CONCENTRIC_RFD_MAX,Maximum rate of force development within a 50ms window over the concentric phase,Concentric Maximum RFD,Newton Per Second,False,True
45,6553641,1320.0,23.206,Left,0,6553641,CONCENTRIC_RFD_MAX,Maximum rate of force development within a 50ms window over the concentric phase,Concentric Maximum RFD,Newton Per Second,False,True
46,6553641,1580.0,23.222,Right,0,6553641,CONCENTRIC_RFD_MAX,Maximum rate of force development within a 50ms window over the concentric phase,Concentric Maximum RFD,Newton Per Second,False,True
47,6553641,16.455696202531644,23.206,Asym,0,6553641,CONCENTRIC_RFD_MAX,Maximum rate of force development within a 50ms window over the concentric phase,Concentric Maximum RFD,Newton Per Second,False,True
48,6553642,0.22599999999987475,23.238,Trial,0,6553642,TIME_TO_PEAK_FORCE,Time between start of the concentric phase to peak force,Concentric Time to Peak Force,Millisecond,False,True
49,6553642,0.22599999999987475,23.238,Left,0,6553642,TIME_TO_PEAK_FORCE,Time between start of the concentric phase to peak force,Concentric Time to Peak Force,Millisecond,False,True
50,6553642,0.24399999999986477,23.256,Right,0,6553642,TIME_TO_PEAK_FORCE,Time between start of the concentric phase to peak force,Concentric Time to Peak Force,Millisecond,False,True
51,6553642,7.377049180327869,23.238,Asym,0,6553642,TIME_TO_PEAK_FORCE,Time between start of the concentric phase to peak force,Concentric Time to Peak Force,Millisecond,False,True
52,6553643,1.6139999999991055,23.756,Trial,0,6553643,CONTRACTION_TIME,Time on the ground between start of movement and takeoff,Contraction Time,Millisecond,False,False
53,6553644,0.8699999999995178,23.012,Trial,0,6553644,ECCENTRIC_TIME,Duration of the eccentric phase,Eccentric Duration,Millisecond,False,False
54,6553645,1.0959999999993926,23.238,Trial,0,6553645,START_TO_PEAK_FORCE_TIME,Time between start of movement and peak force,Movement Start to Peak Force,Second,False,False
55,6553649,19.66677325633811,23.238,Trial,0,6553649,RELATIVE_CONCENTRIC_RFD,Rate of force development over the concentric phase to peak force relative to body mass,Concentric RFD / BM,Newton Per Second Per Kilo,False,False
56,6553657,0.7439999999995877,23.756,Trial,0,6553657,CONCENTRIC_DURATION,Length of the concentric phase,Concentric Duration,Millisecond,False,False
57,6553658,185.51724137931035,23.756,Trial,0,6553658,CONCENTRIC_ECCENTRIC_DURATION_RATIO,Ratio of total contraction time to eccentric duration as %,Contraction Time:Eccentric Duration,Percent,False,False
58,6553659,116.93548387096774,23.756,Trial,0,6553659,ECCENTRIC_CONCENTRIC_DURATION_RATIO,Ratio of eccentric to concentric duration as %,Eccentric:Concentric Duration,Percent,False,False
